Years_of_Experience,Salary,Job_Satisfaction,Stress_Level,Commute_Distance,Gender,Department,Promotion_Last_Year,Work_Mode,Performance_Rating
19.6,159607.51,7.1,2.5,13.3,Female,Product Management,No,Remote,8.2
5.2,47176.02,2.1,7.1,26.2,Male,Software Development,No,Remote,2.2
15.4,110404.45,4.9,4.8,19.3,Female,Software Development,Yes,Remote,6.5
9.6,92078.33,4.1,5.6,20.9,Female,Marketing,No,Remote,4.0
9.4,75523.6,3.4,7.1,32.3,Male,Product Management,No,Remote,3.9
2.3,35071.15,1.6,8.6,36.5,Female,Marketing,Yes,Remote,1.0
8.6,100295.35,4.5,4.5,30.1,Female,Product Management,No,On-site,3.6
5.0,44575.39,2.0,8.1,30.2,Female,Software Development,Yes,Remote,2.1
7.7,86468.38,3.8,6.4,22.4,Female,Product Management,Yes,On-site,3.2
4.5,61511.93,2.7,7.0,28.6,Female,Software Development,No,Remote,1.9
7.8,79122.41,3.5,6.4,30.4,Male,Software Development,No,On-site,3.3
8.0,86401.2,3.8,6.3,23.5,Male,Marketing,Yes,On-site,3.3
10.5,110407.46,4.9,5.5,20.7,Female,Marketing,Yes,On-site,4.4
1.9,40706.29,1.8,6.9,33.2,Female,Software Development,No,On-site,1.0
2.8,42463.08,1.9,7.9,32.6,Female,Software Development,No,Remote,1.2
11.8,83954.84,3.7,7.2,23.0,Male,Marketing,Yes,On-site,5.0
6.0,64007.87,2.8,8.2,28.1,Male,Marketing,No,On-site,2.5
15.4,142472.82,6.3,4.0,14.4,Female,Software Development,No,Remote,6.4
11.1,102515.05,4.6,5.7,21.8,Male,Software Development,Yes,Remote,4.7
13.0,129774.5,5.8,4.9,19.0,Female,Software Development,No,Remote,5.5
17.1,121301.46,5.4,5.5,22.5,Female,Product Management,No,Remote,7.2
8.5,74118.67,3.3,6.6,24.0,Female,Product Management,No,Remote,3.5
7.1,92696.56,4.1,5.3,22.4,Male,Marketing,No,Remote,3.0
14.4,122773.82,5.4,4.4,16.3,Female,Product Management,No,Remote,6.0
12.5,104473.03,4.6,7.0,22.0,Female,Marketing,Yes,On-site,5.3
9.1,77660.17,3.4,5.5,24.4,Male,Software Development,Yes,Remote,3.8
17.0,118948.67,5.3,4.5,19.4,Male,Software Development,No,On-site,7.1
8.9,100718.18,4.5,4.7,25.2,Male,Product Management,No,Remote,3.7
10.2,99990.69,4.4,5.6,15.2,Male,Marketing,No,Remote,4.3
10.1,76232.68,3.4,5.8,28.1,Female,Product Management,No,Remote,4.2
5.3,53295.9,2.4,7.6,28.8,Female,Product Management,No,Remote,2.2
10.4,58947.78,2.6,5.9,31.2,Female,Marketing,No,Remote,4.4
17.0,119893.79,5.3,5.0,16.6,Female,Software Development,No,Remote,7.1
12.2,87971.77,3.9,6.8,28.0,Female,Software Development,No,Remote,5.1
10.2,101052.4,4.5,5.3,24.6,Male,Software Development,Yes,On-site,4.3
9.2,72770.46,3.2,6.7,29.0,Female,Software Development,No,Remote,3.9
11.7,115734.73,5.1,4.8,21.4,Female,Marketing,No,Remote,4.9
13.7,151804.54,6.7,3.3,11.8,Female,Software Development,No,On-site,5.8
13.0,133532.93,5.9,4.1,15.0,Female,Software Development,No,Remote,5.5
8.3,76950.17,3.4,7.1,28.8,Female,Marketing,Yes,Remote,3.5
11.6,97121.51,4.3,6.4,20.6,Female,Software Development,No,Remote,4.9
12.4,81126.38,3.6,5.9,30.2,Female,Marketing,No,Remote,5.2
5.0,61523.46,2.7,7.0,27.9,Male,Marketing,No,Remote,2.1
10.8,88744.76,3.9,6.6,25.8,Female,Marketing,No,Remote,4.5
1.0,31713.62,1.4,7.4,43.4,Female,Product Management,Yes,Remote,1.0
12.4,161902.88,7.2,2.3,10.3,Male,Software Development,No,On-site,5.2
13.3,123351.66,5.5,4.6,18.3,Male,Software Development,No,Remote,5.6
13.7,78274.01,3.5,6.8,29.5,Female,Product Management,No,Remote,5.8
8.0,68421.3,3.0,6.5,31.2,Male,Marketing,No,On-site,3.4
11.5,104399.25,4.6,5.1,20.6,Male,Product Management,No,On-site,4.8
17.1,148729.36,6.6,3.1,12.7,Female,Software Development,Yes,Remote,7.2
17.1,117823.61,5.2,4.4,18.5,Female,Product Management,No,On-site,7.2
9.9,88297.45,3.9,6.5,28.7,Female,Product Management,Yes,Remote,4.1
10.7,75427.83,3.3,5.9,25.7,Male,Marketing,No,Remote,4.5
15.6,105702.13,4.7,5.2,21.4,Male,Software Development,Yes,On-site,6.5
2.5,43135.52,1.9,7.4,30.6,Male,Product Management,Yes,On-site,1.0
8.4,63652.12,2.8,6.1,31.2,Male,Product Management,No,Remote,3.5
16.7,158801.48,7.0,3.2,12.0,Male,Product Management,No,On-site,7.0
14.9,87125.42,3.9,5.8,21.5,Female,Software Development,No,On-site,6.2
11.8,140552.94,6.2,3.8,13.2,Female,Product Management,No,Remote,5.0
2.5,30601.98,1.4,7.3,25.9,Male,Software Development,No,Remote,1.0
9.8,76001.95,3.4,6.1,23.8,Male,Software Development,No,Remote,4.1
7.1,74038.78,3.3,7.2,29.5,Female,Marketing,No,On-site,3.0
11.7,90429.43,4.0,7.5,27.9,Female,Software Development,No,Remote,4.9
6.0,57405.42,2.5,6.0,32.4,Male,Marketing,No,On-site,2.5
4.9,49896.97,2.2,7.6,33.3,Female,Marketing,No,Remote,2.0
1.0,28399.12,1.3,9.1,34.4,Male,Software Development,No,Remote,1.0
16.1,156767.72,7.0,2.9,13.3,Male,Marketing,Yes,On-site,6.8
8.0,76870.78,3.4,7.1,27.3,Male,Product Management,No,On-site,3.4
10.8,93411.34,4.1,5.3,28.7,Female,Software Development,Yes,Remote,4.5
10.0,127513.1,5.7,4.4,17.1,Male,Marketing,No,Remote,4.2
4.7,59147.5,2.6,7.0,34.5,Male,Software Development,Yes,Remote,2.0
3.7,33661.52,1.5,9.5,37.7,Male,Marketing,No,Remote,1.6
5.0,48455.43,2.2,7.3,34.3,Female,Software Development,Yes,Remote,2.1
6.4,60463.85,2.7,7.1,21.9,Male,Software Development,No,On-site,2.7
11.8,99625.83,4.4,6.1,24.9,Male,Software Development,No,Remote,5.0
6.0,55299.85,2.5,6.8,29.7,Male,Product Management,No,Remote,2.5
18.7,143339.19,6.4,3.7,13.7,Male,Marketing,No,Remote,7.9
15.1,170104.85,7.6,2.0,8.0,Female,Marketing,No,On-site,6.3
14.0,129088.08,5.7,3.8,17.1,Male,Software Development,No,Remote,5.9
9.4,43776.93,1.9,8.4,32.4,Male,Marketing,No,On-site,3.9
17.6,177129.49,7.9,1.9,7.2,Female,Software Development,No,Remote,7.4
8.9,99558.5,4.4,5.3,18.2,Male,Software Development,No,Remote,3.7
9.8,71658.15,3.2,7.2,28.9,Male,Marketing,No,Remote,4.1
10.8,103450.75,4.6,5.1,24.0,Male,Software Development,No,Remote,4.6
13.5,93693.95,4.2,6.3,23.9,Female,Software Development,No,On-site,5.7
13.2,103583.38,4.6,5.5,24.7,Female,Marketing,Yes,Remote,5.5
7.6,86492.03,3.8,6.4,24.4,Female,Product Management,No,On-site,3.2
7.3,68164.82,3.0,7.8,27.7,Female,Software Development,No,Remote,3.1
13.2,74324.6,3.3,6.9,23.7,Female,Software Development,No,Remote,5.5
13.6,112948.41,5.0,5.8,16.1,Female,Software Development,No,Remote,5.7
8.0,71703.76,3.2,7.4,33.6,Female,Product Management,No,On-site,3.4
2.1,34963.75,1.6,8.0,38.6,Male,Product Management,No,On-site,1.0
9.0,77535.36,3.4,7.4,21.7,Male,Marketing,Yes,On-site,3.8
13.1,105428.5,4.7,5.5,21.7,Female,Product Management,No,Remote,5.5
19.0,185871.66,8.2,1.7,6.9,Female,Marketing,Yes,On-site,8.0
4.0,44944.97,2.0,8.2,30.9,Male,Product Management,Yes,Remote,1.7
7.9,73822.4,3.3,7.5,25.5,Female,Software Development,No,On-site,3.3
8.1,88749.63,3.9,6.3,25.4,Male,Software Development,No,On-site,3.4
16.8,149978.3,6.7,4.0,14.7,Male,Marketing,Yes,Remote,7.0
9.8,85609.53,3.8,6.9,26.0,Male,Software Development,No,Remote,4.1
5.5,49568.65,2.2,8.2,30.7,Female,Marketing,No,On-site,2.3
12.8,91018.97,4.0,5.3,23.4,Male,Software Development,Yes,On-site,5.4
8.0,70766.89,3.1,6.7,30.6,Female,Marketing,Yes,Remote,3.3
3.9,47339.25,2.1,8.0,33.4,Female,Software Development,Yes,On-site,1.6
5.5,53925.25,2.4,8.1,30.7,Female,Software Development,Yes,On-site,2.3
18.7,186153.36,8.3,1.8,6.9,Male,Product Management,No,Remote,7.8
11.9,104778.58,4.7,5.4,22.3,Female,Product Management,No,Remote,5.0
10.5,105774.35,4.7,5.4,20.0,Male,Product Management,No,On-site,4.4
8.8,85585.2,3.8,6.6,27.4,Male,Product Management,Yes,Remote,3.7
11.5,119305.07,5.3,4.3,16.3,Female,Marketing,No,Remote,4.8
11.4,109656.44,4.9,6.0,19.5,Male,Marketing,No,Remote,4.8
11.5,99297.28,4.4,4.4,24.1,Male,Software Development,No,On-site,4.8
10.6,92098.8,4.1,6.8,20.3,Male,Software Development,No,On-site,4.4
14.3,94104.84,4.2,5.8,18.7,Female,Software Development,No,Remote,6.0
10.1,96650.04,4.3,6.3,23.0,Male,Product Management,Yes,On-site,4.2
5.1,38858.38,1.7,8.6,26.1,Female,Software Development,No,On-site,2.1
6.9,60389.94,2.7,7.6,24.5,Female,Product Management,No,Remote,2.9
1.0,28250.32,1.3,9.2,38.3,Female,Marketing,Yes,On-site,1.0
20.1,125999.03,5.6,4.8,17.2,Female,Product Management,Yes,On-site,8.4
14.3,109781.76,4.9,5.0,23.8,Male,Software Development,Yes,On-site,6.0
5.8,71703.59,3.2,7.5,23.2,Male,Software Development,No,On-site,2.5
8.6,73302.37,3.3,6.0,26.7,Male,Product Management,Yes,Remote,3.6
6.8,66935.86,3.0,7.0,29.5,Male,Software Development,Yes,Remote,2.9
17.7,142260.58,6.3,4.0,12.6,Female,Software Development,No,Remote,7.4
2.9,35043.4,1.6,9.3,38.1,Male,Software Development,No,On-site,1.2
10.6,69018.73,3.1,7.3,29.5,Male,Software Development,Yes,On-site,4.4
9.5,87628.2,3.9,5.9,19.5,Female,Software Development,No,Remote,4.0
14.1,155067.73,6.9,3.4,12.4,Female,Marketing,No,Remote,5.9
9.5,77075.29,3.4,6.1,27.6,Female,Marketing,No,Remote,4.0
1.2,27787.82,1.2,10.3,32.5,Female,Marketing,No,On-site,1.0
8.7,70538.5,3.1,6.8,22.4,Female,Software Development,No,Remote,3.7
5.1,52583.62,2.3,6.5,31.7,Female,Product Management,No,On-site,2.2
10.4,85827.29,3.8,5.5,31.6,Male,Product Management,Yes,Remote,4.4
17.2,145806.07,6.5,3.5,13.4,Female,Software Development,No,Remote,7.2
1.3,32471.0,1.4,8.7,41.0,Female,Software Development,No,Remote,1.0
6.0,67010.31,3.0,8.4,25.5,Male,Software Development,No,On-site,2.5
7.2,63375.77,2.8,6.4,29.5,Male,Product Management,No,Remote,3.0
8.1,77317.41,3.4,6.6,28.8,Female,Product Management,No,On-site,3.4
13.7,102900.17,4.6,4.9,21.7,Female,Product Management,Yes,Remote,5.7
9.1,87259.68,3.9,5.8,23.6,Male,Software Development,Yes,Remote,3.8
12.1,85903.46,3.8,7.2,27.0,Male,Marketing,Yes,Remote,5.1
6.9,68471.67,3.0,6.2,34.4,Female,Software Development,No,On-site,2.9
11.1,112726.81,5.0,5.3,20.7,Female,Software Development,Yes,On-site,4.7
13.9,108827.54,4.8,5.4,19.3,Male,Marketing,No,Remote,5.8
6.3,62749.97,2.8,7.2,28.2,Male,Software Development,Yes,On-site,2.7
13.9,115837.78,5.1,5.1,25.6,Female,Product Management,No,Remote,5.8
10.3,136498.32,6.1,3.5,16.0,Male,Marketing,Yes,Remote,4.3
15.2,113062.57,5.0,5.8,18.4,Female,Product Management,No,Remote,6.4
9.0,103671.53,4.6,6.4,18.5,Male,Software Development,No,On-site,3.8
11.9,83664.54,3.7,6.3,19.4,Male,Product Management,No,Remote,5.0
9.8,76222.94,3.4,8.2,27.7,Male,Product Management,No,Remote,4.1
9.5,73942.24,3.3,6.4,29.1,Male,Product Management,No,Remote,4.0
11.3,77184.95,3.4,6.8,25.0,Male,Product Management,Yes,Remote,4.7
12.7,120130.01,5.3,5.3,18.6,Male,Product Management,Yes,Remote,5.3
3.8,41570.29,1.8,7.8,27.8,Female,Marketing,Yes,Remote,1.6
17.2,117448.59,5.2,4.1,19.5,Male,Software Development,No,Remote,7.2
1.0,29304.38,1.3,7.3,36.9,Female,Marketing,Yes,On-site,1.0
6.6,76889.32,3.4,7.9,24.6,Male,Product Management,Yes,Remote,2.8
9.5,100882.5,4.5,5.2,26.8,Female,Product Management,No,Remote,4.0
12.1,120347.74,5.3,4.6,16.7,Male,Marketing,No,Remote,5.1
17.9,147030.79,6.5,3.1,14.4,Male,Software Development,No,Remote,7.5
1.0,20440.9,1.0,9.9,39.8,Female,Marketing,No,On-site,1.0
7.5,60754.47,2.7,6.7,28.9,Female,Product Management,No,Remote,3.1
1.0,25222.48,1.1,8.4,34.7,Female,Software Development,No,On-site,1.0
10.2,80343.46,3.6,6.6,21.1,Female,Software Development,Yes,On-site,4.3
11.4,88430.47,3.9,5.4,28.4,Female,Marketing,No,On-site,4.8
18.0,177264.55,7.9,2.1,8.3,Male,Software Development,No,Remote,7.5
10.6,118057.91,5.2,5.4,20.3,Female,Software Development,Yes,Remote,4.4
15.2,129390.42,5.7,4.4,18.5,Female,Software Development,No,Remote,6.4
12.9,131951.7,5.9,4.2,15.3,Female,Product Management,No,On-site,5.4
7.8,73562.74,3.3,6.9,26.3,Female,Software Development,Yes,Remote,3.3
3.0,32883.63,1.5,8.2,39.9,Male,Marketing,No,Remote,1.2
11.4,107669.42,4.8,6.3,18.0,Male,Product Management,Yes,Remote,4.8
2.5,36980.99,1.6,7.7,42.3,Female,Product Management,No,On-site,1.1
16.5,136986.5,6.1,4.0,14.2,Female,Product Management,No,On-site,6.9
9.2,69072.98,3.1,7.0,23.6,Female,Marketing,No,Remote,3.9
16.0,149382.83,6.6,3.7,13.7,Female,Product Management,Yes,Remote,6.7
7.6,58821.47,2.6,8.2,37.7,Male,Software Development,Yes,Remote,3.2
11.3,92280.35,4.1,5.9,18.0,Male,Product Management,Yes,Remote,4.8
11.0,76553.7,3.4,6.8,25.9,Male,Marketing,Yes,On-site,4.6
9.8,90571.68,4.0,6.2,25.3,Female,Software Development,No,On-site,4.1
7.8,63201.39,2.8,5.6,28.9,Female,Marketing,No,On-site,3.3
12.0,97947.9,4.3,4.8,23.7,Male,Software Development,No,Remote,5.0
5.4,58213.18,2.6,7.0,27.0,Female,Product Management,No,On-site,2.3
4.0,45837.04,2.0,7.5,29.5,Male,Software Development,No,On-site,1.7
16.2,94946.78,4.2,5.1,22.7,Male,Marketing,No,On-site,6.8
13.6,113915.38,5.1,5.3,17.0,Female,Software Development,No,On-site,5.7
10.3,110426.85,4.9,5.1,20.3,Male,Software Development,Yes,Remote,4.3
18.3,149834.28,6.7,3.3,12.7,Female,Product Management,No,On-site,7.7
8.7,103420.82,4.6,4.7,20.4,Female,Product Management,No,On-site,3.6
16.6,171639.76,7.6,2.4,9.9,Female,Product Management,No,On-site,7.0
10.9,111794.25,5.0,3.7,15.6,Male,Software Development,No,Remote,4.6
4.9,60976.42,2.7,7.2,28.3,Male,Software Development,No,On-site,2.0
19.2,164645.12,7.3,2.7,13.9,Female,Marketing,Yes,Remote,8.1
15.0,142430.48,6.3,3.8,12.7,Female,Marketing,Yes,Remote,6.3
9.4,85742.03,3.8,5.2,28.8,Female,Software Development,No,Remote,3.9
13.6,75188.02,3.3,6.8,26.8,Male,Product Management,No,On-site,5.7
8.0,87685.8,3.9,5.5,22.6,Male,Software Development,No,Remote,3.3
14.1,100328.05,4.5,5.1,18.5,Female,Software Development,No,Remote,5.9
1.0,30598.87,1.4,9.3,35.2,Female,Software Development,No,On-site,1.0
4.9,54778.95,2.4,9.1,35.8,Male,Marketing,No,On-site,2.1
14.9,118806.79,5.3,4.8,18.0,Male,Product Management,Yes,On-site,6.2
8.8,55752.27,2.5,6.9,29.8,Female,Marketing,Yes,Remote,3.7
11.0,99803.77,4.4,5.7,25.1,Male,Marketing,Yes,On-site,4.6
3.3,55260.79,2.5,8.3,31.5,Male,Software Development,No,Remote,1.4
19.2,120563.31,5.4,4.9,14.9,Male,Product Management,No,Remote,8.1
16.0,166043.39,7.4,3.4,10.7,Male,Product Management,Yes,Remote,6.7
9.0,66141.49,2.9,6.6,33.6,Female,Marketing,Yes,On-site,3.8
8.0,99750.53,4.4,5.7,22.2,Male,Software Development,No,Remote,3.3
15.1,123273.2,5.5,5.2,11.9,Male,Marketing,No,Remote,6.4
19.9,149192.53,6.6,3.9,14.2,Male,Marketing,No,Remote,8.4
14.8,75353.26,3.3,5.4,26.0,Male,Product Management,No,Remote,6.2
20.9,159490.79,7.1,2.9,9.0,Female,Product Management,Yes,On-site,8.7
5.4,55465.8,2.5,8.7,23.8,Male,Product Management,No,On-site,2.3
5.9,62239.84,2.8,9.3,32.5,Female,Software Development,Yes,Remote,2.5
4.1,46412.06,2.1,8.5,28.9,Male,Product Management,No,Remote,1.7
12.2,90096.95,4.0,5.8,21.3,Male,Marketing,No,Remote,5.1
10.9,117573.36,5.2,4.3,19.0,Male,Product Management,No,On-site,4.6
9.2,80358.19,3.6,7.9,23.7,Male,Marketing,No,Remote,3.9
14.0,144695.96,6.4,3.8,14.5,Female,Software Development,No,Remote,5.9
16.2,122349.87,5.4,4.2,17.8,Male,Marketing,No,Remote,6.8
2.4,31903.86,1.4,8.4,29.2,Female,Software Development,No,Remote,1.0
7.0,69835.87,3.1,7.1,25.8,Male,Software Development,No,Remote,2.9
14.1,89234.08,4.0,6.4,25.5,Male,Product Management,Yes,Remote,5.9
7.7,66659.58,3.0,6.4,28.3,Male,Software Development,No,Remote,3.2
6.0,79740.72,3.5,6.1,25.6,Female,Software Development,No,Remote,2.5
15.1,100052.4,4.4,4.6,27.6,Male,Software Development,No,On-site,6.3
3.6,38303.89,1.7,9.2,36.2,Male,Marketing,No,Remote,1.5
8.5,110095.63,4.9,4.9,22.6,Male,Product Management,No,Remote,3.6
11.6,73952.67,3.3,7.0,26.3,Male,Software Development,No,On-site,4.9
7.1,77439.1,3.4,7.5,27.0,Female,Software Development,No,On-site,3.0
13.9,120229.49,5.3,4.8,17.6,Female,Product Management,Yes,Remote,5.8
7.2,44490.2,2.0,7.9,35.2,Female,Product Management,Yes,On-site,3.0
17.0,133398.28,5.9,4.2,16.1,Female,Software Development,No,Remote,7.1
9.4,98383.46,4.4,5.7,23.2,Female,Product Management,No,On-site,3.9
13.4,121710.49,5.4,5.2,18.8,Male,Marketing,No,On-site,5.6
13.7,127299.11,5.7,4.5,17.4,Female,Product Management,No,Remote,5.8
6.9,71307.11,3.2,6.5,37.4,Male,Marketing,No,Remote,2.9
1.0,23331.1,1.0,9.9,32.9,Male,Product Management,No,Remote,1.0
11.8,96686.71,4.3,6.4,20.9,Female,Software Development,No,On-site,5.0
10.4,70157.16,3.1,6.0,29.9,Female,Software Development,No,Remote,4.3
12.8,90458.21,4.0,6.9,22.2,Female,Software Development,No,On-site,5.4
8.9,68297.79,3.0,7.2,26.9,Female,Marketing,Yes,Remote,3.7
7.8,88970.38,3.9,6.2,20.9,Male,Product Management,Yes,Remote,3.3
20.0,117305.78,5.2,5.3,20.4,Male,Marketing,No,Remote,8.4
2.6,41665.22,1.8,7.7,34.7,Male,Software Development,No,Remote,1.1
13.7,100166.47,4.4,6.1,21.3,Female,Marketing,Yes,Remote,5.7
7.1,69383.22,3.1,6.7,30.2,Female,Marketing,Yes,Remote,3.0
8.3,89687.51,4.0,5.1,18.5,Male,Product Management,No,On-site,3.5
8.4,74223.63,3.3,6.0,24.5,Male,Marketing,No,On-site,3.5
6.0,61653.75,2.7,7.7,28.4,Male,Marketing,Yes,On-site,2.5
12.9,104792.47,4.7,4.8,18.3,Female,Product Management,Yes,Remote,5.4
17.0,142831.38,6.3,4.2,11.4,Female,Product Management,No,On-site,7.1
12.4,154404.88,6.9,3.5,12.1,Male,Marketing,No,On-site,5.2
10.5,70859.96,3.1,7.8,29.8,Female,Software Development,Yes,Remote,4.4
5.1,66198.01,2.9,7.1,32.8,Female,Product Management,No,Remote,2.1
12.6,119239.76,5.3,4.8,17.5,Male,Product Management,No,Remote,5.3
20.8,153373.57,6.8,2.8,13.9,Female,Product Management,No,On-site,8.7
8.1,93083.15,4.1,6.5,25.3,Male,Product Management,No,Remote,3.4
8.1,59299.07,2.6,7.6,34.0,Male,Product Management,No,Remote,3.4
7.2,63465.63,2.8,7.6,27.5,Male,Product Management,No,Remote,3.0
7.6,57079.9,2.5,8.7,23.2,Female,Product Management,No,On-site,3.2
1.0,27726.69,1.2,8.2,35.4,Female,Software Development,Yes,Remote,1.0
12.0,81143.32,3.6,6.3,22.4,Male,Marketing,No,Remote,5.0
5.8,65798.71,2.9,7.3,25.8,Female,Marketing,No,Remote,2.4
1.9,30409.02,1.3,7.8,33.3,Male,Software Development,No,Remote,1.0
13.8,108806.12,4.8,5.1,19.8,Female,Product Management,Yes,Remote,5.8
4.6,60885.19,2.7,7.7,29.7,Female,Product Management,No,Remote,1.9
8.3,71202.95,3.2,6.6,29.8,Male,Product Management,Yes,On-site,3.5
17.3,112369.93,5.0,5.7,19.1,Male,Product Management,No,On-site,7.3
3.0,55396.65,2.5,6.4,31.7,Female,Software Development,Yes,On-site,1.2
2.3,32472.0,1.4,9.5,34.3,Male,Product Management,No,Remote,1.0
11.3,64004.06,2.8,7.6,32.0,Female,Marketing,No,On-site,4.8
15.7,113117.71,5.0,4.7,19.4,Female,Software Development,No,Remote,6.6
2.1,36268.65,1.6,7.6,33.2,Female,Software Development,Yes,Remote,1.0
12.0,116157.46,5.2,3.8,18.5,Male,Product Management,No,On-site,5.0
12.9,111847.5,5.0,4.6,19.7,Male,Marketing,No,On-site,5.4
1.0,26060.18,1.2,9.8,31.9,Male,Product Management,No,Remote,1.0
14.0,105342.47,4.7,5.3,18.9,Female,Marketing,Yes,On-site,5.9
14.4,117476.84,5.2,5.3,21.0,Male,Software Development,Yes,On-site,6.0
8.4,68582.16,3.0,6.5,24.1,Male,Software Development,No,On-site,3.5
16.3,143516.69,6.4,3.9,13.9,Female,Software Development,No,On-site,6.8
15.7,155905.48,6.9,2.9,13.9,Female,Product Management,Yes,On-site,6.6
10.5,98973.05,4.4,5.1,21.4,Male,Software Development,No,Remote,4.4
7.7,84344.77,3.7,6.2,27.6,Female,Product Management,No,Remote,3.2
5.1,51615.51,2.3,7.2,28.6,Female,Product Management,Yes,On-site,2.2
9.8,114319.61,5.1,4.2,17.1,Male,Product Management,No,Remote,4.1
12.8,112544.06,5.0,4.9,16.0,Male,Marketing,No,Remote,5.4
8.4,82561.57,3.7,6.4,29.5,Female,Product Management,No,Remote,3.5
1.0,19503.54,1.0,10.1,30.9,Female,Software Development,No,Remote,1.0
16.3,120532.59,5.3,5.1,20.3,Male,Software Development,No,On-site,6.9
11.0,77069.09,3.4,7.4,23.0,Male,Software Development,Yes,On-site,4.6
8.1,62809.13,2.8,7.7,33.6,Male,Product Management,Yes,Remote,3.4
14.3,121198.79,5.4,4.8,23.6,Female,Software Development,Yes,On-site,6.0
17.6,88970.61,3.9,5.3,19.1,Male,Marketing,No,On-site,7.4
1.0,23671.42,1.1,9.1,30.9,Male,Software Development,No,Remote,1.0
12.2,104334.63,4.6,5.7,23.6,Female,Software Development,No,On-site,5.1
2.9,38538.92,1.7,9.5,35.3,Female,Software Development,Yes,Remote,1.2
12.5,91130.84,4.0,6.4,26.1,Female,Product Management,No,Remote,5.2
10.6,94548.97,4.2,6.5,21.5,Male,Marketing,No,Remote,4.5
13.2,147446.49,6.5,3.1,17.3,Male,Product Management,No,On-site,5.5
7.5,90482.36,4.0,5.8,24.3,Male,Marketing,No,Remote,3.1
1.0,21393.46,1.0,9.4,30.5,Female,Product Management,No,On-site,1.0
7.7,74514.25,3.3,7.5,25.9,Female,Marketing,No,On-site,3.2
12.0,109712.27,4.9,5.1,17.4,Male,Marketing,Yes,Remote,5.0
15.1,132241.94,5.9,4.1,19.8,Male,Marketing,No,Remote,6.3
4.1,51870.27,2.3,8.2,28.2,Female,Marketing,No,Remote,1.7
15.1,156125.67,6.9,2.7,13.0,Female,Product Management,No,Remote,6.3
6.8,52700.33,2.3,8.9,28.8,Male,Marketing,Yes,On-site,2.8
11.8,93651.78,4.2,5.3,21.6,Female,Product Management,No,Remote,5.0
7.5,83787.19,3.7,5.1,19.1,Female,Product Management,Yes,Remote,3.1
10.9,103026.61,4.6,5.4,23.3,Female,Software Development,No,Remote,4.6
14.5,145699.87,6.5,4.1,16.4,Female,Marketing,No,On-site,6.1
3.9,64887.69,2.9,7.5,25.2,Female,Software Development,No,On-site,1.6
6.6,54251.34,2.4,8.2,24.5,Female,Marketing,Yes,On-site,2.8
10.9,114081.27,5.1,5.0,21.7,Female,Marketing,No,On-site,4.6
22.0,147348.43,6.5,3.4,11.0,Male,Product Management,No,Remote,9.2
5.7,80266.71,3.6,5.4,29.7,Male,Software Development,Yes,Remote,2.4
20.2,225299.63,10.0,0.0,0.0,Female,Software Development,No,On-site,8.5
20.0,204113.09,9.1,1.0,3.2,Female,Software Development,Yes,On-site,8.4
9.5,86450.18,3.8,7.0,25.4,Female,Software Development,No,Remote,4.0
8.5,87460.78,3.9,6.3,21.3,Male,Product Management,No,Remote,3.6
6.5,52624.74,2.3,8.1,27.9,Female,Product Management,No,Remote,2.7
9.7,96998.48,4.3,6.6,23.8,Male,Product Management,No,On-site,4.1
3.0,36701.02,1.6,8.6,23.3,Female,Product Management,No,Remote,1.2
9.6,75640.79,3.4,6.6,32.0,Male,Software Development,No,Remote,4.0
17.5,109902.7,4.9,4.7,20.6,Male,Software Development,Yes,On-site,7.3
6.9,62767.98,2.8,8.7,24.2,Male,Software Development,No,Remote,2.9
8.8,84248.06,3.7,6.6,21.9,Female,Product Management,No,Remote,3.7
1.5,32909.37,1.5,7.7,38.4,Male,Product Management,No,Remote,1.0
11.9,92242.52,4.1,5.2,25.4,Male,Marketing,No,Remote,5.0
11.3,124964.78,5.5,5.0,20.9,Male,Software Development,Yes,Remote,4.7
10.3,74173.26,3.3,6.0,24.5,Male,Software Development,No,Remote,4.3
8.9,74425.65,3.3,7.9,27.8,Female,Product Management,No,Remote,3.7
8.5,86239.68,3.8,4.5,26.0,Male,Software Development,No,On-site,3.6
12.5,150145.92,6.7,3.8,14.5,Male,Product Management,Yes,On-site,5.2
9.9,93622.03,4.2,6.1,26.7,Female,Software Development,No,Remote,4.1
11.6,95763.61,4.3,5.8,20.9,Female,Software Development,Yes,Remote,4.9
11.1,77079.39,3.4,6.5,25.9,Female,Product Management,No,On-site,4.6
15.6,131635.9,5.8,4.9,15.4,Female,Software Development,No,Remote,6.6
13.4,116908.87,5.2,5.2,19.1,Female,Product Management,No,Remote,5.6
11.0,91710.71,4.1,5.4,25.8,Male,Product Management,No,Remote,4.6
17.6,107591.2,4.8,4.3,16.6,Female,Marketing,No,On-site,7.4
12.1,78649.79,3.5,6.6,29.6,Female,Product Management,No,Remote,5.1
16.5,168277.6,7.5,2.5,8.7,Female,Marketing,No,On-site,6.9
13.0,146609.86,6.5,3.0,13.4,Female,Software Development,No,On-site,5.5
1.0,31132.73,1.4,8.6,39.8,Female,Product Management,No,On-site,1.0
16.5,154956.57,6.9,2.9,13.0,Male,Marketing,No,Remote,6.9
10.7,73614.73,3.3,6.7,28.1,Male,Software Development,No,On-site,4.5
9.7,104290.03,4.6,5.8,18.3,Female,Product Management,Yes,Remote,4.1
